id,name,ingredients,time,description,calories,protein,fat,sugar,sodium,carbs,meat_ingredients,is_vegetarian
11,cream  of spinach soup,"water, salt, boiling potatoes, fresh spinach leaves, unsalted butter, coarse salt, fresh ground black pepper, nutmeg",45,"bring water and salt to a boil cut the potatoes in half lengthwise , and then into 1 / 2"" thick slices boil over medium-high heat for twenty minutes add the spinach and boil another 10 minutes being careful to not overcook in order to maintain it's bright green color drain , reserving 1 1 / 4 cups cooking liquid in a food processor , process the potatoes and spinach until very smooth , adding the butter 1 / 2 t at a time return the puree to the pot and add the reserved liquid until the desired consistency reheat slowly and season with salt and pepper ladle into shallow soup plates and garnish with nutmeg or shaved cheese",126.0,5,11,2,14,4,,1
12,easiest ever  hollandaise sauce,"butter, lemon, juice of, salt, white pepper, egg yolks",25,"cut the butter into several pieces and bring to room temperature in the top of a double boiler , combine egg yolks , lemon juice , salt and pepper add a piece of butter cook , stirring steadily with a wooden spoon or wire whisk , over , but not touching , boiling water when butter melts and sauce begins to thicken , add remaining butter , stirring constantly until melted continue cooking as sauce thickens , about 2 more minutes immediately remove from heat",1290.4,22,213,4,53,1,,1
13,emotional balance  spice mixture,"ground black pepper, ground ginger, ground coriander, ground cumin, ground turmeric, black cumin",10,mix the spices together and store in an airtight container saute small amounts in butter / ghee to spice vegetables and grains,182.7,13,11,4,1,10,,1
14,fried  potatoes,"red potatoes, margarine, rosemary",40,"preheat oven to 400 degrees cut the potatoes into strips about 2 1 / 2 inches long by 1 / 4-inch thick soak the potatoes in ice water for five minutes drain the potatoes , then rinse thoroughly under cold water press between paper towels to dry transfer potatoes to a bowl , pour melted margarine over the potatoes and toss to coat them spray baking sheet with non-stick spray spread potatoes onto baking sheet bake for 15 minutes toss and turn bake for five minutes add herbs and toss bake a final five minutes until the potatoes are brown and crisp serve immediately",132.6,4,8,4,3,6,,1
15,get the sensation  brownies,"butter, sugar, vanilla, eggs, all-purpose flour, baking cocoa, baking powder, salt, miniature peppermint patties",70,"preheat oven to 350 degrees grease 13 x 9 baking pan in a large bowl , whisk together butter , sugar and vanilla add eggs and stir until well combined combine dry ingredients and blend well with wet ingredients reserve 2 cups of batter and set aside spread remaining batter in prepared pan arrange peppermint patties in a single layer over batter , about 1 / 2 inch apart carefully spread reserved 2 cups of batter on top bake for 50- 55 minutes or until brownies begin to pull away from sides of pan cool completely on wire rack and cut into squares",174.4,4,13,67,5,7,,1
16,grilled  ranch bread,"butter, dry ranch dressing mix, french bread",13,"cream the butter with the dressing mix spread evenly on the bread halves place under the broiler for 2-3 minutes , until golden and the butter begins to seep and bubble serve hot",1649.8,80,91,4,128,78,,1
17,healthy for them  yogurt popsicles,"milk, frozen juice concentrate, plain yogurt",10,mix all the ingredients using a blender pour into popsicle molds freeze and enjoy !,164.6,4,3,5,1,11,,1
18,homemade  vegetable soup from a can,"low sodium chicken broth, diced tomatoes, zucchini, corn, potatoes, wax beans, green beans, carrots",12,"combine all ingredients in large pot bring to a boil and simmer for 3 minutes serve i use the tomatoes that come flavored with basil , oregano , and garlic you can substitute whatever vegetables you like if you don't want to use the zucchini , add a can of tomato sauce to give it some substance",276.2,23,3,55,18,20,chicken,0
19,how i got my family to eat spinach  spinach casserole,"frozen chopped spinach, egg, salt, black pepper, onion, sharp cheddar cheese, condensed cream of mushroom soup, crouton",50,"preheat oven to 350 degrees place spinach in strainer and squeeze all extra liquid from it in a large bowl , combine spinach with the rest of ingredients , except croutons , and combine well pour into a 2 quart casserole dish and top with croutons bake for 35 to 40 minutes , or until bubbling around edges",166.1,19,16,6,32,3,,1
20,i can t believe it s spinach,"frozen chopped spinach, eggs, garlic powder, soft breadcrumbs, oregano, margarine, sage, onion",30,combine all ingredients in a large bowl and mix well shape into one-inch balls cover and refrigerate or freeze until ready to bake preheat oven to 350 degrees place on ungreased baking sheet and bake until light brown,53.8,3,5,2,3,1,,1
21,i don t feel like cooking tonight  casserole,"ground beef, onion, frozen vegetables, cream of mushroom soup, condensed cream of mushroom & garlic soup, salt & pepper, cooking oil, cornbread mix",45,"brown onion and meat in the oil , drain any excess moisture remove from heat and add both cans of soup and the veggies of your choice and stir salt and pepper to taste pour mixture into a greased 9x9 inch baking pan spoon the prepared cornbread mix over the top and spread even bake in a preheated 350 degree oven for 35-45 minutes , or until cornbread is done",647.6,54,57,57,58,16,beef,0
22,i stole the idea from mirj  sesame noodles,"angel hair pasta, toasted sesame oil, soy sauce, honey, garlic, green onions, toasted sesame seeds, stir fry vegetables",18,"in a large pot , cook your angel hair pasta until almost al dente drain well , put in a bowl and set aside in a small tupperware container with a lid , mix sesame oil , soy sauce , honey , garlic and sesame seeds put the lid on the container and shake , shake , shake it like a polaroid picture pour the sauce over the angel hair and toss well the heat of the pasta will cook the garlic a bit so it won't be totally raw mix in the green onions and stir fry veggies serve",783.4,36,46,107,56,37,,1
23,immoral  sandwich filling  loose meat,"ground beef, sugar, prepared yellow mustard, beer, cayenne, garlic, salt & pepper, american cheese",35,"brown the meat & drain fat stir in sugar , mustard , beer , cayenne , garlic and salt & pepper to taste simmer until liquid has mostly cooked away lay slices of cheese over top of meat , then cover for about 5 minutes , with heat on very low , until cheese has melted stir cheese into meat serve hot , on sandwich buns or bread , or over hot potatoes or rice",223.2,35,22,4,7,0,beef,0
24,italian  fries,"frozen french fries, oil, salt & freshly ground black pepper, parmesan cheese, oregano, basil, flat leaf parsley",15,"deep fry french fries according to package directions drain well on paper towels , and transfer to a serving platter season with salt and pepper , then sprinkle on remaining ingredients serve with your favorite condiments",241.0,10,12,1,23,12,,1
25,italian  gut busters,"sandwich bun, good seasonings italian salad dressing mix, butter, deli turkey, ham, pepperoni, cheddar cheese, swiss cheese, mozzarella cheese",45,"lay out sandwich rolls on jelly roll pans / cookie sheets melt butter , mix in italian dressing mix using a pastry or bbq brush , graciously apply seasoned butter to the top of the""bottom bun"" and the top of the top bun don't miss this step , i don't know why , but it does make a difference ! here is where i create an assembly line w / the bottoms of the buns layer each bun w / ham , then swiss cheese , turkey , then cheddar cheese , pepperoni , then mozzerella cheese place""lids"" on buns and place in 425 degree oven for approximly 12-15 minutes , or until you see the tops start to turn golden brown",816.9,98,100,11,97,2,"ham, pepperoni, turkey",0
26,land of nod  cinnamon buns,"rolls, brown sugar, instant vanilla pudding, cinnamon, raisins, butter",35,"before you turn in for the night , grease a 10"" bundt pan and add frozen rolls sprinkle with brown sugar , pudding powder , cinnamon and raisins pour melted butter over all cover with a clean , damp cloth off to bed you go ! in the morning , preheat oven to 350 and bake for 25 minutes let sit for 5 minutes and then turn out on a serving plate",575.3,28,18,116,34,34,,1
27,leftovers  spaghetti sauce,"stewed tomatoes, prego spaghetti sauce, garlic, ground beef, white onion, granulated sugar",40,"i had previously browned and drained the ground beef and had it in the fridge , if you don't have this leftover , brown ground beef first in a nonstick skillet , drain off fat really well i use a pile of paper towels to soak up the fat place ground beef in a large pot stir in all other ingredients except the sugar bring to a boil , stirring occasionally turn heat down to low and simmer uncovered or covered for about 30 minutes or so to let the flavors mix , stirring occasionally taste the sauce now and then and add more onions or garlic to taste add a little sugar to neutralize the acidity of the tomatoes during the simmering serve over hot spaghetti noodles the sauce should be fairly thick , not runny , so as you add in the ingredients , use more or less of the prego as needed if too thick , add a little water , more prego , or more stewed tomatoes with juice when i made mine , it was the consistency of chili this makes a pretty decent batch , can feed 2-4 depending on how much everyone eats in a serving",987.8,104,75,195,106,28,beef,0
28,make it your way  shortcakes,"flour, salt, baking powder, sugar, butter, egg, milk",25,"pre-heat the oven to 450 sift together the flour , salt and baking powder mix in the sugar cut in the butter with a fork until meal-like crumbs form lightly beat the egg in a separate bowl add the milk add to the flour mixture briefly knead on a floured board roll out to 1 / 2 inch thick cut into 2"" squares place on a greased baking sheet and cook for 10 minutes",175.2,7,11,15,8,7,,1
29,mennonite  corn fritters,"fresh corn, eggs, flour, salt, pepper, baking powder, cream, fat",15,"combine eggs , flour , baking powder , salt& pepper with the corn mix thoroughly add cream to mixture melt fat in frying pan& drop corn mixture by spoonfuls into the hot fat brown on both sides serve w / syrup",67.1,3,7,2,7,1,,1
30,mexican pasta,"fettuccine pasta, cheddar cheese soup, milk, picante sauce, black olives, jalapeno",25,"boil pasta as directed on package drain and put in large serving bowl mix picante sauce , milk , and cheese soup in a smaller bowl until creamy heat in microwave until warm mix sauce and pasta together and garnish with olives and jalepenos if desired",325.3,26,10,11,39,17,,1
31,mock a mole   low fat guacamole,"frozen peas, hass avocado, salt, lemons, juice of, tomatoes, onion, cilantro",15,"thaw peas by running hot water over them in a strainer until they are bright green puree peas in food processor add 1 / 4 of one avocado , salt , and juice of one lemon or lime puree again and transfer to a bowl coarsely mash the remaining avocado and stir in tomato and onion taste and add more salt / lemon to your taste stir in cilantro",115.9,9,7,21,19,5,,1
32,momma s special  marinade,"lemon juice, oil, worcestershire sauce, basil, soy sauce, garlic powder, pepper",10,"depending on how much meat i have i usually have to either double or triple this recipe the longer your meat marinates the better it tastes this recipe was originally for salmon , but i think it can be used universally i've also used this same recipe for steak and chicken it is wonderful",199.2,1,31,6,10,1,,1
33,munch without guilt  tomatoes,"tomatoes, crackers, mayonnaise, black pepper",10,put a slice of tomato on each biscuit / cracker smear with little mayo and sprinkle black pepper munch without guilt !,3.0,0,0,1,0,0,,1
34,never weep  whipped cream,"whipping cream, vanilla instant pudding mix, powdered sugar, vanilla extract",5,"whip all ingredients together until firm peaks form cover leftovers tightly , preferably in an air-tight plastic container this stays the same consistency until used it will keep for a week in the fridge without deflating",276.3,3,45,2,1,0,,1
35,one bowl  perfect pound cake,"all-purpose flour, sugar, salt, baking soda, lemon, rind of, vanilla, butter, yogurt, eggs",70,preheat oven to 325 degrees and grease and flour a tube or bundt pan combine all ingredients in a large bowl and blend at low speed beat 3 minutes at medium speed pour into prepared pan bake for 1 hour or until top springs back when touched lightly in center cool in pan for about 15 minutes then remove and cool completely on rack serve plain or glaze if you like,456.6,11,32,164,15,20,,1
36,one pot  brownies,"unsweetened chocolate squares, butter, sugar, eggs, flour, vanilla, nuts",40,"melt chocolate and butter in heavy pot let cool slightly , then add sugar and mix well add eggs , mix well , then beat in flour add vanilla add nuts or raisins , if desired stir well bake in 9 1 / 2 x 13 inch greased pan for 20-25 minutes at 375 degrees do not overbake",1389.5,42,129,410,26,51,,1
37,philly  waldorf salad,"philadelphia cream cheese, orange juice, orange rind, sugar, apples, celery, pecans",60,"combine softened cream cheese , orange juice , orange rind and sugar , mixing until well blended add remaining ingredients mix lightly chill",180.7,6,22,29,3,3,,1
38,pizza  stuffed potato,"baking potato, mozzarella cheese, tomato sauce, part-skim ricotta cheese, oregano leaves, garlic powder, parmesan cheese",25,"preheat oven to 450 degrees cut potato in half lengthwise scoop out pulp from potato halves into a bowl , leaving 1 / 4-inch-thick shells mash pulp and reserve shells add 1 ounce mozzarella cheese , the tomato sauce , ricotta cheese , oregano and garlic powder to potato pulp and stir to combine spoon half of potato mixture into each reserved shell top each with half of the remaining mozzarella cheese and half of the parmesan cheese set potato shells in 1-quart casserole and bake until thoroughly heated , about 10 minutes",183.3,21,12,9,15,6,,1
39,pour over anything  mushroom gravy,"onion, mushroom pieces, sodium-free vegetable broth, tomato puree, cornstarch, white wine, black pepper, tabasco sauce",20,"in a small saucepan , saut onion and mushrooms in a small amount oil mix dissolved cornstarch into a cup of vegetable broth slowly add to onions and mushrooms add the other ingredients too check the seasonings and cook gently until thickened use on vegetables , over cooked rice or noodles , in casseroles , or over mashed potatoes",33.1,2,0,11,0,2,,1
40,rise and shine  german fruit pancake,"eggs, flour, milk, salt, butter, powdered sugar, apple pie filling, toasted almonds",45,"preheat oven to 450 degrees with an electric mixer or wire whisk , beat eggs until frothy whisk in flour stir in milk and salt melt butter in a 10-inch oven-proof skillet pour mixture into hot skillet and place in preheated oven bake 15 minutes or until pancake is puffed and golden the center will be shaped like a bowl remove from oven fill with fruit , dust with powdered sugar and sprinkle with almonds serve immediately",253.0,11,13,64,10,13,,1
41,say what   banana sandwich,"white bread, mayonnaise, bananas",5,spread a tablespoon on one side of each slice on bread peel and cut the bananas into 1 / 4-inch round slices lay the slices on two of the slices of bread and then top with the other half enjoy !,238.0,10,3,66,10,17,,1
42,smoked  salmon  cracker spread,"cream cheese, salmon, salt, lemon juice, onions, liquid smoke",65,"in small mixer bowl beat cream cheese at med speed , scraping bowl often , until light and fluffy add salt , lemon juice , onion , and liquid smoke continue beating until well mixed by hand , stir in salmon spoon into serving bowl and serve with crackers store refrigerated garnish with chives , green onions , olives , pimiento , etc to taste",132.4,21,14,0,8,0,salmon,0
43,sour cream  avocado dip  vegan,"soft silken tofu, avocado, chunky salsa, fresh cilantro, lime juice, hot sauce, salt and pepper",10,"peel and pit avocado , put in a large mixing bowl add entire block of tofu and salsa combine ingredients using a hand mixer on medium speed for about 1 minute or until the mixture becomes smooth add remaining ingredients , mix on low speed until all ingredients are blended together chill for one hour and serve store leftovers in the fridge in an air-tight container",12.8,0,1,0,0,0,,1
44,steamed  chicken cutlets in packages,"boneless skinless chicken breast, tomatoes, dried basil, olive oil, lime juice, salt and pepper",35,"preheat oven to 450f rinse the chicken breasts , and either cut or pound the chicken to create cutlets of about equal size tear off squares of aluminum foil and place each chicken breast on a square slice the tomato and place a slice or two atop of each breast drizzle the chicken with the olive oil sprinkle the basil on top of the chicken breasts evenly add salt and pepper to each breast loosely fold up the foil over each cutlet , leaving both room for air space but folded up enough not to allow oil to drip out place all packages in a large baking dish and bake for 20 minutes serve while still packaged allow each diner to open his / her package at the table",190.5,53,12,3,3,0,chicken,0
45,sugared grapes,"green grape, egg whites, sugar",15,"for one regular size bunch of grapes , 2 egg whites brush grapes with egg whites and then sprinkle sugar to totaly cover grapes freeze until needed the day of this makes a very pretty garnish that's really yummmy ! the crystallized sugar makes the grapes crunchy and sweet !",140.4,4,0,133,1,11,,1
46,symphony  brownies,"betty crocker fudge brownie mix, eggs, water, vegetable oil, milk chocolate candy bars",45,"preheat oven to 350 degrees , or 325 degrees for glass baking dish lightly grease the bottom only of an 11 x 7 inch baking pan set aside in a large mixing bowl prepare brownie mix according to directions on the package , using 2 eggs , 1 / 4 cup water and 1 / 2 cup oil stir until smooth spread half the batter evenly into prepared pan unwrap candy bars and place them on top of the batter top with remaining brownie batter bake 40 minutes or until a toothpick inserted near center comes out with only a few moist crumbs clinging to it remove pan from oven and let cool on wire rack before cutting into squares or other shapes",5728.3,140,470,1941,87,226,,1
47,the elvis  smoothie,"banana, natural-style peanut butter, 2% low-fat milk, sugar-free non-fat vanilla yogurt",2,"place all ingredients in blender blend until very smooth serve immediately for a vegan smoothie , make with soy milk and soy yogurt",354.2,26,29,94,2,12,,1
48,the man s  taco dip,"cream cheese, sour cream, taco seasoning, bean dip, cheddar cheese",40,mix cream cheese and sour cream until a soft mixture add taco seasoning and bean dip add 3 / 4 of cheese and pour into a baking dish add remaining cheese on top bake at 350 deg for 20 to 30 minutes or until golden brown serve with torillla chips,184.8,13,26,0,7,0,,1
49,the woiks  dilly burgers,"mccormick's montreal brand steak seasoning, dill weed, no-salt-added ketchup, ground sirloin, bacon, american cheese, iceberg lettuce, tomatoes, onion",32,"in a bowl , mix together the ground beef , montreal steak seasoning , bacon crumbles and dill weed shape into four burgers brush or spray the onion slices with olive oil place the burgers and onion slices over medium hot coals grill for 8-12 minutes or until burgers are well done and onion is tender , turning once add cheese to each burger , one minute before cooking is complete place the burgers on toasted hamburger rolls top with lettuce , tomato and favourite condiments",449.2,58,50,16,19,2,bacon,0
50,tide me over   indian chaat  simple veggie salad,"cucumber, potato, chopped tomato, plain yogurt, chat masala, paprika, salt",2,"toss everything well in a serving bowl grab a fork or large spoon and eat immediately , or refrigerate until hunger strikes , and then eat ! feel extremely pleased with yourself that you snacked on this instead of that bag of chips you were eyeing proceed to eat several helpings of dessert after dinner as reward",73.1,5,1,15,0,4,,1
51,truth serum  margaritas,"limeade, lime juice, tequila, triple sec, lime wedge, grand marnier",30,"mix limeade , lime juice , tequila and triple sec in a pitcher and refrigerate serve in salted glasses with plenty of ice--skip the blender , just serve on the rocks garnish with lime wedge& a splash of grand marnier",72.0,0,0,61,0,6,,1
52,turtle  squares,"flour, brown sugar, butter, pecans, semi-sweet chocolate chips",30,"preheat oven to 350 degrees f spray a 13 x 9 baking pan evenly with non-stick cooking spray beat 1 cup brown sugar with 1 / 2 cup melted butter with an electric mixer on medium for 2-3 minutes add the flour mixture and mix until smooth press the flour mixture evenly and firmly into the prepared baking pan sprinkle the pecans evenly oven the flour mixture in the pan mix the 2 / 3 cup butter and 1 / 2 cup brown sugar in a saucepan and bring to a boil over a medium heat stir constantly while boiling for about 1 minute spread the boiling mixture evenly over the pecans bake for about 20 minutes cool melt the chocolate chips in the microwave , stirring ever 30 seconds or so until almost smooth remove the chocolate chips , stir thoroughly to smooth and spread evenly over the top of the squares chill for 15 minutes until the chocolate sets and then remove from fridge when squares have returned to room temperature cut into 36 squares",172.4,2,16,51,1,6,,1
53,wacky cake,"flour, sugar, cocoa, baking soda, salt, vegetable oil, vinegar, vanilla, water",40,"sift together and make 3 holes in dry ingredients in first hole , pour vegetable oil in second hole , pour vinegar in third hole , pour vanilla pour cold water over all mix well with fork or whisk , but do not beat bake in greased 8 x 8 pan for about 35 minutes at 350 deg f",2252.6,44,130,802,101,117,,1
54,1 brownies in the world    best ever,"bittersweet chocolate, unsalted butter, eggs, granulated sugar, unsweetened cocoa powder, vanilla extract, brewed espresso, kosher salt, all-purpose flour",40,"heat the oven to 350f and arrange the rack in the middle line an 8-by-8-inch glass baking dish with aluminum foil combine chocolate and butter in a medium saucepan and cook over medium-low heat , stirring frequently , until evenly melted remove from heat and let cool to room temperature combine eggs , sugar , cocoa powder , vanilla extract , espresso , and salt in a large bowl and briefly stir until just evenly incorporated add cooled chocolate and mix until uniform in color add flour and stir until just incorporated transfer batter to the prepared baking dish bake until a tester inserted in the center of the brownies comes out clean , about 25 to 30 minutes remove from the oven and cool completely before cutting",138.4,3,10,50,3,6,,1
55,1 easiest dr  pepper ham glaze ever,"dr. pepper cola, orange marmalade, brown sugar",13,"mix all 3 ingredients in a pan , bring to a boil , and glaze ham throughout cooking process of the ham enjoy !",89.6,0,0,89,0,7,,1
56,1 favorite chinese steamed whole fish by sy,"fish, scallions, rice wine, peanut oil, sesame oil, white pepper, salt, gingerroot, low sodium soy sauce",45,"clean and scale the fish and remove the insides , however , leave the head and tail on rinse under cold water and then pat dry place the fish in an oblong oven proof / microwave proof dish and add a little rice wine to both sides after 5 minutes , remove the wine place two whole scallions under the fish to prop the fish up , which will allow steam to flow underneath steaming the fish: place water in a large wok and using a flat round trivet on top of the wok , bring water to a boil place the fish plate on the trivet and cover steam the fish for about 10-15 minutes , use a fork to poke the flesh of the fish to see that it is done remove the fish plate from the wok , pour off the cloudy liquid , discard the scallions and then place the plate in the kitchen sink as an alternative for steaming , put plastic wrap over the fish plate and then into the microwave oven microwave on high for about 5-6 minutes check for doneness as sprinkle the fish with pepper& salt spread over the fish the scallions and ginger strips in a small frying pan add the peanut& sesame oil and heat just to smoking then pour smoking oil over the fish , be careful with the oil splattering next add the soya sauce serve hot with white rice and chinese vegetables toped with oyster sauce !",264.7,3,41,4,36,1,fish,0
57,1 squash dressing,"squash, cornbread, eggs, onion, butter, cream of chicken soup, sage",50,mix all together put in 2 quart casserole dish bake for 30 minutes at 350f enjoy !,157.7,11,17,11,20,2,chicken,0
58,412 broccoli casserole,"frozen broccoli cuts, cream of chicken soup, sharp cheddar cheese, garlic powder, ground black pepper, salt, milk, soy sauce, french-fried onions",40,"preheat oven to 350 degrees spray a 2 quart baking dish with cooking spray , set aside in a large bowl mix together broccoli , soup , one cup of cheese , garlic powder , pepper , salt , milk , 1 cup of french onions , and soy sauce pour into baking dish , sprinkle remaining cheese over top bake for 25 minutes or until cheese is lightly browned sprinkle with rest of french fried onions and bake until onions are browned and cheese is bubbly , about 10 more minutes",194.8,22,20,6,32,3,chicken,0
59,1 000 artichoke hearts,"artichoke hearts, egg, unseasoned breadcrumbs, oil, unsalted butter, fresh garlic",25,"squeeze as much liquid as possible out of the artichoke hearts and drain them on paper towels roll each heart in egg wash , and then roll in breadcrumbs until well-coated deep fry for one to two minutes until lightly browned and slightly crispy melt butter and garlic in a small , individual saut pan saut hearts for two minutes in the garlic butter , basting each heart and taking care not to burn the butter or garlic serve right in the pan with firm bread such as french or italian",422.5,34,25,20,46,19,,1
60,100 broccoli casserole,"frozen broccoli, cream cheese, dry onion soup mix, sour cream, water chestnuts, cheddar cheese, ritz cracker crumbs",50,"cook broccoli until tender in the amount of water called for on the package , drain mix together soup mix , cream cheese , sour cream and water chestnuts add drained broccoli and stir well place in lightly buttered casserole dish and top with grated cheese and cracker crums bake at 350 for 30-35 minutes or until hot throughout and bubbly",212.0,11,25,11,19,4,,1
61,300 icing,"milk, flour, butter, granulated sugar, vanilla",30,"this first part is best made ahead to allow for cooling in a small sauce pan , mix flour into milk , then heat on low heat , stirring constantly until mixture resembles a thick pudding cover and let cool in a separate bowl , cream butter with sugar add vanilla and blend until smooth add first mixture after fully cooled decorate as usual should be able to ice one 8x8 cake excellent for carrot cake when using cream cheese",339.0,3,37,100,7,10,,1
62,lplermagrone,"milk, salt, macaroni, cheese, fresh coarse ground black pepper, butter, onions, garlic cloves",50,"a variant on the theme: in the swiss canton of nidwalden , aelplermagrone is prepared with equal amounts of macaroni and potatoes dried apple slices are traditionally served as a side dish bring the milk and one tablespoon of salt to a boil add the noodles , reduce the heat , and cook over a low heat until done , stirring occasionally the noodles should absorb enough milk so that the dish is still moist while the pasta is cooking gently saute the onions in butter , and garlic cloves , keeps it low and slow so as not to burn the onion or garlic , which would make it bitter empty the noodles into a pre-heated bowl: mix in cheese and pepper top with onions which have been sauteed in butter , and garlic cloves the aelplermagrone can be served at this point: often a green salad is served alongside but if you prefer , you can also turn the mixture into a casserole and bake it in the oven long enough to brown the top nicely -- usually about twenty minutes at 400 f / 200 c",1003.8,69,72,21,103,37,,1
63,lplermagronen,"potato, penne pasta, onions, butter, cheese, milk, salt and pepper, applesauce",55,"heat oven to 375f set a large pot of salted water to boil heat butter / oil over medium-low heat in a frying pan add onions and fry them until golden brown add penne and potatoes to the salted water stir to make sure pasta doesnt stick together cook until tender , about 15 minutes drain penne and potatoes combine milk / cream with salt and pepper in an ovenproof casserole dish , place 1 / 3 of the penne-potatoes , sprinkle with 1 / 2 of the grated cheese make another layer with 1 / 3 of the penne-potatoes , sprinkle with the other 1 / 2 of the grated cheese top with the remaining 1 / 3 of the penne-potatoes pour the seasoned milk / cream evenly over the top spread the browned onions on top bake covered for 10-15 minutes until steaming hot and cheese is melted serve with warmed applesauce",651.8,32,33,12,16,33,,1
64,pinards en branche  sauted spinach,"fresh spinach, water, nutmeg, butter",50,"pull away and discard any tough stems and blemished leaves from the spinach rinse and drain the spinach pour the water into a kettle and bring to the boil add salt to taste and the spinach stir down to wilt bring to the boil , stirring occasionally , and cook about 5 minutes empty the spinach into a colander and drain press with the back of a wooden spoon to extract most of the liquid squeeze between the hands to extract additional moisture put the spinach on a flat surface and chop it coarsely add nutmeg put the butter in a skillet and , when it starts to brown , add the spinach cook , tossing and stirring , just to heat through",61.8,9,5,2,6,1,,1
65,add in anything  muffins,"flour, sugar, baking powder, baking soda, salt, butter, sour cream, egg, vanilla",15,"set oven to 400 degrees set oven rack to second-lowest position grease 12 regular size muffin tins or line with paper muffin liners in a bowl sift together flour , 1 / 2 cup plus 2 tablespoons sugar , baking powder , baking soda and salt in another bowl whisk together melted butter with sour cream , egg and vanilla or almond extract stir in the butter mixture into the flour mixture stir with a wooden spoon just until combined divide the batter between each muffin tin if you want you can sprinkle with a topping bake for about 20 minutes or until muffins test done",209.3,5,18,44,8,7,,1
66,almost grilled  cheese sandwich,"white bread, processed cheese, butter",5,toast the bread slices spread one side of each bread slice very lightly with butter put cheese slice between buttered sides of bread heat in the microwave until cheese starts to melt in my oven this takes no more than 15 to 20 seconds,195.3,15,9,14,26,8,,1
